# Report

name | result
[th06::GameManager::OnUpdate](#user-content-th06____gamemanager____onupdate) | 98.50%
th06::GameManager::OnDraw | 100.00%
[th06::GameManager::SetupCameraStageBackground](#user-content-th06____gamemanager____setupcamerastagebackground) | 75.84%
[th06::GameManager::SetupCamera](#user-content-th06____gamemanager____setupcamera) | 72.97%
[th06::GuiMsgVm::GuiMsgVm](#user-content-th06____guimsgvm____guimsgvm) | 10.58%
[th06::Gui::RegisterChain](#user-content-th06____gui____registerchain) | 78.63%
[th06::Gui::CutChain](#user-content-th06____gui____cutchain) | 93.48%
th06::Gui::AddedCallback | 100.00%
[th06::Gui::DeletedCallback](#user-content-th06____gui____deletedcallback) | 84.78%
[th06::Gui::ActualAddedCallback](#user-content-th06____gui____actualaddedcallback) | 95.12%
[th06::Gui::ShowSpellcard](#user-content-th06____gui____showspellcard) | 99.27%
th06::Gui::EndEnemySpellcard | 100.00%
[th06::Gui::LoadMsg](#user-content-th06____gui____loadmsg) | 99.82%
th06::Gui::MsgWait | 100.00%
th06::Gui::HasCurrentMsgIdx | 100.00%
[th06::Gui::MsgRead](#user-content-th06____gui____msgread) | 99.22%
[th06::Gui::OnUpdate](#user-content-th06____gui____onupdate) | 99.45%
[th06::Gui::OnDraw](#user-content-th06____gui____ondraw) | 86.25%
[th06::Gui::DrawGameScene](#user-content-th06____gui____drawgamescene) | 87.22%
[th06::Gui::DrawStageElements](#user-content-th06____gui____drawstageelements) | 90.11%
[th06::Gui::UpdateStageElements](#user-content-th06____gui____updatestageelements) | 98.70%
[th06::Gui::ShowFullPowerMode](#user-content-th06____gui____showfullpowermode) | 99.65%
[th06::Gui::ShowBonusScore](#user-content-th06____gui____showbonusscore) | 99.65%
[th06::Gui::ShowSpellcardBonus](#user-content-th06____gui____showspellcardbonus) | 94.95%
th06::Gui::IsStageFinished | 100.00%
th06::Gui::FreeMsgFile | 100.00%
th06::Gui::EndPlayerSpellcard | 100.00%
[th06::Gui::ShowBombNamePortrait](#user-content-th06____gui____showbombnameportrait) | 99.14%
th06::Gui::IsDialogueSkippable | 100.00%
[th06::GuiImpl::GuiImpl](#user-content-th06____guiimpl____guiimpl) | 80.61%
[th06::GuiImpl::DrawDialogue](#user-content-th06____guiimpl____drawdialogue) | 93.05%
[th06::GuiImpl::MsgRead](#user-content-th06____guiimpl____msgread) | 99.21%
[th06::GuiImpl::RunMsg](#user-content-th06____guiimpl____runmsg) | 82.84%
[th06::GameWindow::WindowProc](#user-content-th06____gamewindow____windowproc) | 63.74%
[th06::GameWindow::CreateGameWindow](#user-content-th06____gamewindow____creategamewindow) | 78.61%
[WinMain](#user-content-winmain) | 81.59%
[th06::utils::CheckForRunningGameInstance](#user-content-th06____utils____checkforrunninggameinstance) | 85.84%
[th06::FileSystem::OpenPath](#user-content-th06____filesystem____openpath) | 98.75%
[th06::FileSystem::WriteDataToFile](#user-content-th06____filesystem____writedatatofile) | 99.60%
